id,longitude,latitude
1,-85.69812207257155,42.288500322381239
2,-85.701763700142408,42.288496522389053
3,-85.706497218623184,42.288491411783767
4,-85.706618987371755,42.288581852911449
5,-85.706611307405922,42.291758130302469
6,-85.706610780883693,42.291974573910153
7,-85.706279996165151,42.292049807119398
8,-85.704981548275413,42.292740125963242
9,-85.703441257678762,42.293394294421645
10,-85.703422863232475,42.295426563100776
11,-85.699970609908661,42.295411118697089
12,-85.699964153070098,42.294217180931803
13,-85.698089542901457,42.294218253163578
14,-85.698090693998125,42.294016020077223
15,-85.695657786353422,42.29401876145193
16,-85.695670278510136,42.292132555157522
17,-85.695694319954356,42.288502790418264
18,-85.696908196433952,42.288501562869044
19,-85.69812207257155,42.288500322381239
